GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TypeFight,edu.eci.arsw.typefight,STOMPMessagesHandler,530,20,33,1,103,6,24,2,7,2
TypeFight,edu.eci.arsw.typefight,TypeFightApplication,5,3,0,0,2,1,1,1,1,1
TypeFight,edu.eci.arsw.typefight,STOMPMessagesHandler.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
TypeFight,edu.eci.arsw.typefight,TypeFightWebSocketConfig,0,47,0,0,0,9,0,3,0,3
TypeFight,edu.eci.arsw.typefight.model,TypeFight,295,601,60,6,10,48,46,18,14,17
TypeFight,edu.eci.arsw.typefight.model,Player,176,133,41,3,4,40,25,15,4,14
TypeFight,edu.eci.arsw.typefight.config,RedisConfiguration,0,101,0,0,0,25,0,4,0,4
TypeFight,edu.eci.arsw.typefight.config,TypeFightDeserializer,56,98,8,10,8,23,8,4,0,3
TypeFight,edu.eci.arsw.typefight.service,PlayerService,0,15,0,0,0,3,0,3,0,3
TypeFight,edu.eci.arsw.typefight.service,CacheService,7,58,0,4,2,17,1,6,1,4
